iter	MultiClass
0	1.017947984
1	0.9435715155
2	0.890941439
3	0.8379962443
4	0.7962735506
5	0.7520014214
6	0.7129039721
7	0.6772959902
8	0.6515661607
9	0.6251554085
10	0.5985186082
11	0.5764586816
12	0.5533526253
13	0.5345035804
14	0.5138635579
15	0.4995554999
16	0.4850237977
17	0.4710927301
18	0.4561155034
19	0.4428360096
20	0.4287000601
21	0.4179740989
22	0.408113085
23	0.4000207579
24	0.3907271421
25	0.383429905
26	0.3742323903
27	0.3640506202
28	0.3553432385
29	0.3471147477
30	0.3411359404
31	0.334257736
32	0.327194432
33	0.3203465315
34	0.311950886
35	0.3066115881
36	0.3008012676
37	0.2964896959
38	0.2907745871
39	0.2838008558
40	0.2775122378
41	0.2710039427
42	0.2662992472
43	0.2624272522
44	0.2576306872
45	0.2530742357
46	0.2486610907
47	0.2450110066
48	0.2412974902
49	0.2369775212
50	0.2331881647
51	0.2299376788
52	0.2263816321
53	0.2225084511
54	0.2188214324
55	0.2149132871
56	0.2113720547
57	0.2087364265
58	0.2057629917
59	0.2023197755
60	0.1995455349
61	0.1969142161
62	0.1937845037
63	0.1913710695
64	0.1887008281
65	0.1862805903
66	0.1842305055
67	0.1810028765
68	0.178177897
69	0.1760606213
70	0.1732406672
71	0.1710363134
72	0.1689239967
73	0.1668052823
74	0.1644392695
75	0.1620736322
76	0.1598351417
77	0.1577361606
78	0.1563715687
79	0.1549158861
80	0.1528158545
81	0.1508059879
82	0.1493128758
83	0.1477184494
84	0.1458212955
85	0.1437407502
86	0.1422218117
87	0.1401688921
88	0.1387550041
89	0.1373151428
90	0.1357089489
91	0.1341179756
92	0.1327410976
93	0.1312433005
94	0.129957898
95	0.1281871901
96	0.1269722425
97	0.1252897903
98	0.1239238822
99	0.1229153568
100	0.1216670982
101	0.1206836803
102	0.1199644301
103	0.1183953237
104	0.1170567301
105	0.1158016493
106	0.1150111414
107	0.113820676
108	0.1131214574
109	0.1119371315
110	0.1108285101
111	0.110074171
112	0.1089821349
113	0.1079732668
114	0.1076833955
115	0.106423985
116	0.1055095983
117	0.1043320317
118	0.103364414
119	0.1024056402
120	0.1014870096
121	0.1003994626
122	0.09959658149
123	0.09890700566
124	0.09781375779
125	0.09715852314
126	0.09574118474
127	0.0951206368
128	0.09413280322
129	0.09332314494
130	0.09223309364
131	0.091919511
132	0.09119455883
133	0.09034824573
134	0.08957654793
135	0.08912034764
136	0.08836747123
137	0.08742428198
138	0.08673793597
139	0.08648498801
140	0.08578407942
141	0.0851449387
142	0.08444839129
143	0.0836947468
144	0.0831333783
145	0.08231918122
146	0.08177683182
147	0.08085881558
148	0.0802167852
149	0.08001855813
150	0.07970849533
151	0.0792894092
152	0.07851665017
153	0.07783672468
154	0.07723565305
155	0.07675641726
156	0.07625201253
157	0.07578442535
158	0.07520035669
159	0.07446647241
160	0.07380809456
161	0.07325481212
162	0.07241811133
163	0.07222334886
164	0.07174775981
165	0.07134101726
166	0.07108678503
167	0.07071650943
168	0.0703385085
169	0.0697750603
170	0.06918950411
171	0.06878887535
172	0.06849255861
173	0.06795569257
174	0.06742453415
175	0.06675086061
176	0.06632577483
177	0.06599125827
178	0.06545956483
179	0.06507580089
180	0.0646469748
181	0.06426948814
182	0.06384321657
183	0.0634524407
184	0.06290126514
185	0.06264795252
186	0.0622912412
187	0.06183718307
188	0.06138566863
189	0.06113325552
190	0.06064614396
191	0.06016508147
192	0.05965155787
193	0.05916468315
194	0.05876102579
195	0.0582174969
196	0.05785725387
197	0.05761010724
198	0.05708752517
199	0.05666787655
200	0.05647848187
201	0.05588232438
202	0.05539189541
203	0.05514172621
204	0.05477346459
205	0.05426415063
206	0.05404301843
207	0.0538093139
208	0.05343229359
209	0.05302328568
210	0.05275525125
211	0.05231350378
212	0.05196567591
213	0.051499939
214	0.05110865356
215	0.05072442491
216	0.05045104961
217	0.05019202097
218	0.04984255947
219	0.04969322882
220	0.04945537938
221	0.0492532233
222	0.04901296901
223	0.04895611029
224	0.04864824657
225	0.04845075004
226	0.04818715427
227	0.04789378677
228	0.04772488164
229	0.04749728178
230	0.04718303765
231	0.04681671756
232	0.04659835589
233	0.0463104309
234	0.04602469573
235	0.04581727373
236	0.04556896556
237	0.04530230722
238	0.04513713264
239	0.04483412328
240	0.04456295747
241	0.04428556871
242	0.04423607005
243	0.04401517236
244	0.04389928447
245	0.04353584657
246	0.04330832688
247	0.04313826655
248	0.04277480586
249	0.0424068939
250	0.04217193345
251	0.04205395919
252	0.04193767076
253	0.04162494138
254	0.04141380474
255	0.04122112399
256	0.04088731849
257	0.04057816296
258	0.04035189917
259	0.04017270289
260	0.04005262894
261	0.03985198607
262	0.03975996107
263	0.03955223551
264	0.03933752646
265	0.03922065126
266	0.03909898121
267	0.0389212834
268	0.03865389476
269	0.03847928846
270	0.03831029961
271	0.0381968165
272	0.03797856459
273	0.03779375895
274	0.03754157797
275	0.03740655991
276	0.03723590579
277	0.03712664159
278	0.03704540639
279	0.0368390964
280	0.03664601909
281	0.03647546855
282	0.03630941818
283	0.03617668925
284	0.03604439028
285	0.03583868223
286	0.03563073034
287	0.03545636561
288	0.03525916972
289	0.03516908343
290	0.03498177861
291	0.03471604142
292	0.0345430717
293	0.03433307654
294	0.03425095198
295	0.03411665381
296	0.03402878486
297	0.03389672559
298	0.03374456113
299	0.03356152978
300	0.03342668645
301	0.03327774511
302	0.03317437263
303	0.03300600655
304	0.03283965297
305	0.0326472656
306	0.03249850937
307	0.03234002314
308	0.03225160232
309	0.03204853112
310	0.03193647697
311	0.03178617907
312	0.0316786155
313	0.03157214896
314	0.03142831237
315	0.03126834342
316	0.03115795466
317	0.03094360933
318	0.03076541118
319	0.03070300171
320	0.03057896415
321	0.03040014514
322	0.03028262573
323	0.03013309182
324	0.03002339419
325	0.02991879092
326	0.02985439629
327	0.02973589856
328	0.02959086319
329	0.02955665954
330	0.02944783331
331	0.02933523061
332	0.02929928738
333	0.02919424548
334	0.02911628446
335	0.02904071465
336	0.02894020152
337	0.02884846183
338	0.02871019824
339	0.02859696221
340	0.02852451876
341	0.02843086419
342	0.02832089863
343	0.02815472441
344	0.02807001331
345	0.02798907338
346	0.02783163618
347	0.02773075218
348	0.02764466574
349	0.02751188278
350	0.02740810839
351	0.02731000607
352	0.02720572887
353	0.02709329525
354	0.0270430789
355	0.02698403337
356	0.02692418405
357	0.02680239155
358	0.0267049722
359	0.02666148941
360	0.02655185425
361	0.02646604899
362	0.02637584853
363	0.02621197743
364	0.02612417924
365	0.02601541299
366	0.02594262924
